Date,High Value,Model
1/3/2022,59.1535,VAR
1/4/2022,59.1393,VAR
1/5/2022,59.1252,VAR
1/6/2022,59.1113,VAR
1/7/2022,59.0975,VAR
1/10/2022,59.0838,VAR
1/11/2022,59.0702,VAR
1/12/2022,59.0568,VAR
1/13/2022,59.0436,VAR
1/14/2022,59.0304,VAR
1/18/2022,59.0174,VAR
1/19/2022,59.0045,VAR
1/20/2022,58.9917,VAR
1/21/2022,58.9791,VAR
1/24/2022,58.9666,VAR
1/3/2022,59.1177,ARIMA
1/4/2022,59.0678,ARIMA
1/5/2022,59.0183,ARIMA
1/6/2022,58.9691,ARIMA
1/7/2022,58.9203,ARIMA
1/10/2022,58.8718,ARIMA
1/11/2022,58.8236,ARIMA
1/12/2022,58.7758,ARIMA
1/13/2022,58.7283,ARIMA
1/14/2022,58.6811,ARIMA
1/18/2022,58.6343,ARIMA
1/19/2022,58.5878,ARIMA
1/20/2022,58.5416,ARIMA
1/21/2022,58.4958,ARIMA
1/24/2022,58.4502,ARIMA
1/3/2022,60.7068,REAL
1/4/2022,62.3328,REAL
1/5/2022,63.4169,REAL
1/6/2022,62.9745,REAL
1/7/2022,63.6972,REAL
1/10/2022,63.5477,REAL
1/11/2022,63.7782,REAL
1/12/2022,63.934,REAL
1/13/2022,64.5757,REAL
1/14/2022,64.339,REAL
1/18/2022,64.6255,REAL
1/19/2022,64.1645,REAL
1/20/2022,63.4169,REAL
1/21/2022,61.2737,REAL
1/24/2022,60.7068,REAL
